Colony ID;Treatment;Queens;Stockcolony;Worker;Eggs_total;Egg_laying_rate;Colony_level_eggrate;
FD54a T2;Control;Original;1;5;0;0,000;0,000;
FD54a T3;Control;Original;1;16;4;0,308;0,308;
FD76-3c T2;Control;Original;2;17;5;0,385;0,385;
FD94 T1;Control;Original;3;13;4;0,308;0,308;
FD94 T3;Control;Original;3;8;4;0,308;0,308;
FD70a-1c T2;Control;Original;4;15;3;0,231;0,231;
FD70a-1c T4;Control;Original;4;5;1;0,077;0,077;
GP9-2c T1;Control;Original;5;15;10;0,769;0,769;
GP9-2c T4;Control;Original;5;20;0;0,000;0,000;
GP9-2c T4;Control;Replacement;5;20;0;0,000;;
FD45 T4;Control;Original;6;16;2;0,154;0,154;
FD54a T1;Protein+;Original;1;7;2;0,154;0,154;
FD76-3c T1;Protein+;Original;2;9;3;0,231;0,231;
FD94 T2;Protein+;Original;3;17;6;0,462;0,462;
FD70a-1c T1;Protein+;Original;4;6;3;0,231;0,231;
FD70a-1c T3;Protein+;Original;4;5;6;1,000;0,462;
FD70a-1c T3;Protein+;Replacement;4;5;6;0,222;;
GP9-2c T2;Protein+;Original;5;6;1;0,100;0,077;
GP9-2c T3;Protein+;Original;5;5;0;0,000;0,000;
GP9-2c T3;Protein+;Replacement;5;5;0;0;;
FD45 T2;Protein+;Original;6;11;2;0,154;0,154;
FD45 T3;Protein+;Original;6;9;6;0,462;0,462;